key_id,m,competitive_lsns,competitive_ops,clean_seqs,final_seqs,n_pairs,fired_pairs,last_pair_uniform,last_pair_fired,tail_op,current_lsn,winner_vidx,winner_seq,winner_lsn,winner_op,present,violated,verdict
97,1,1285,u,1,1,0,-,-,False,u,1285,0,1,1285,u,1,False,MATCH
690,6,1286;2220;2710;4000;5654;6719,uuuuuu,1;2;3;4;5;6,1;2;3;5;4;6,5,4,0.598822,False,u,6719,5,6,6719,u,1,False,MATCH
900,7,1288;2668;2727;4086;6030;6750;7166,uuuuuud,1;2;3;4;5;6;7,1;2;4;3;5;6;7,6,3,0.690418,False,d,7166,6,7,7166,d,0,False,MATCH
930,8,1289;2045;2260;3483;4217;4941;6307;6707,uuuuuuuu,1;2;3;4;5;6;7;8,1;3;2;4;6;5;7;8,7,2;5,0.392048,False,u,6707,7,8,6707,u,1,False,MATCH
424,9,1291;1468;1865;1997;4171;4417;5090;6835;7070,uuuuuuuuu,1;2;3;4;5;6;7;8;9,1;3;4;2;6;5;8;7;9,8,2;3;5;7,0.333245,False,u,7070,8,9,7070,u,1,False,MATCH
129,1,1292,u,1,1,0,-,-,False,u,1292,0,1,1292,u,1,False,MATCH
227,2,1293;2009,ud,1;2,1;2,1,-,0.550368,False,d,2009,1,2,2009,d,0,False,MATCH
614,1,1294,u,1,1,0,-,-,False,u,1294,0,1,1294,u,1,False,MATCH
1247,16,1295;1793;2242;2513;2747;3254;3678;4137;4587;4821;4912;5372;5838;6308;6516;6556,cuuuuuuuuuuuuuud,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,1;2;3;4;5;6;7;8;9;11;12;10;13;14;15;16,15,10;11,0.441238,False,d,6556,15,16,6556,d,0,False,MATCH
946,1,1296,u,1,1,0,-,-,False,u,1296,0,1,1296,u,1,False,MATCH
1052,6,1298;1657;1692;2874;3924;5250,uuuuuu,1;2;3;4;5;6,2;3;1;4;5;6,5,1;2,0.793136,False,u,5250,5,6,5250,u,1,False,MATCH
